ID,Title,First_Name,Middle_Name,Other_Name,Last_Name,Maiden_Name,Servant,Servant_type,Age,Orig_Addr,Class,Survived,Survived_text,Boarded,Dest_Addr,Lifeboat,Body,latitude,longitude
'294','Mr.','Elmer','Zebley','','Taylor','','0','','48','London, England','First','1','Survived','Southampton','East Orange, New Jersey, USA','5','',51.506325,-0.127144
'295','Mrs.','Juliet','Cummins','','Taylor','Wright','0','','48','London, England','First','1','Survived','Southampton','East Orange, New Jersey, USA','5','',51.506325,-0.127144
'296','Mr.','John','Borland','Jack','Thayer III','','0','','17','Haverford, Pennsylvania, USA','First','1','Survived','Cherbourg','Haverford, Pennsylvania, USA','B','',40.013995,-75.303189
'297','Mr.','John','Borland','','Thayer III','','0','','49','Haverford, Pennsylvania, USA','First','0','Died','Cherbourg','Haverford, Pennsylvania, USA','','',40.013995,-75.303189
'298','Mrs.','Marian','Longsteth','','Thayer','Morris','0','','39','Haverford, Pennsylvania, USA','First','1','Survived','Cherbourg','Haverford, Pennsylvania, USA','4','',40.013995,-75.303189
'299','Miss','Margaret','','','Fleming','','1','Maid','42','Haverford, Pennsylvania, USA','First','1','Survived','Cherbourg','Haverford, Pennsylvania, USA','4','',40.013995,-75.303189
'300','Don','Manuel','E.','','Uruchurtu','','0','','40','Mexico City, Mexico','First','0','Died','Cherbourg','Mexico City, Mexico','','',19.4319,-99.132851
'301','Mr.','Wyckoff','','','Van der Hoef','','0','','61','Brooklyn, New York, USA','First','0','Died','Belfast','Brooklyn, New York, USA','','245MB',40.692455,-73.990364
'302','Mr.','William','Anderson','','Walker','','0','','48','East Orange, New Jersey, USA','First','0','Died','Southampton','East Orange, New Jersey, USA','','',40.761,-74.209909
'303','Mr.','Frank','Manley','','Warren','','0','','63','Portland, Oregon, USA','First','0','Died','Cherbourg','Portland, Oregon, USA','','',45.511795,-122.675629
'304','Mrs.','Anna','Sophia','','Warren','Atkinson','0','','60','Portland, Oregon, USA','First','1','Survived','Cherbourg','Portland, Oregon, USA','5','',45.511795,-122.675629
'305','Colonel','John','','','Weir','','0','','59','New York City, New York, USA','First','0','Died','Southampton','New York City, New York, USA','','',40.71455,-74.007124
'306','Mr.','Percival','Wayland','','White','','0','','54','Brunswick, Maine, USA','First','0','Died','Southampton','Brunswick, Maine, USA','','',43.913955,-69.967784
'307','Mr.','Richard','Frasar','','White','','0','','21','Brunswick, Maine, USA','First','0','Died','Southampton','Brunswick, Maine, USA','','169MB',43.913955,-69.967784
'308','Mrs.','Ella','','','White','Holmes','0','','55','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','8','',40.71455,-74.007124
'309','Miss','Amelia','Mayo','Nellie','Bessette','','1','Maid','39','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','8','',40.71455,-74.007124
'310','Mr.','Sante','','','Righini','','1','Manservant','22','New York City, New York, USA','First','0','Died','Cherbourg','New York City, New York, USA','','232MB',40.71455,-74.007124
'311','Miss','Mary','Natalie','','Wick','','0','','31','Youngstown, Ohio, USA','First','1','Survived','Southampton','Youngstown, Ohio, USA','8','',41.0981,-80.650789
'312','Mr.','George','Dennick','','Wick','','0','','58','Youngstown, Ohio, USA','First','0','Died','Southampton','Youngstown, Ohio, USA','','',41.0981,-80.650789
'313','Mrs.','Mary','','','Wick','Hitchcock','0','','45','Youngstown, Ohio, USA','First','1','Survived','Southampton','Youngstown, Ohio, USA','8','',41.0981,-80.650789
'314','Mr.','George','Dunton','','Widener','','0','','50','Philadelphia, Pennsylvania, USA','First','0','Died','Southampton','Philadelphia, Pennsylvania, USA','','',39.95228,-75.162454
'315','Mr.','Edwin','Herbert','','Keeping','','1','Valet','33','Philadelphia, Pennsylvania, USA','First','0','Died','Southampton','Philadelphia, Pennsylvania, USA','','45MB',39.95228,-75.162454
'316','Mr.','Harry','Elkins','','Widener','','0','','27','Philadelphia, Pennsylvania, USA','First','0','Died','Southampton','Philadelphia, Pennsylvania, USA','','',39.95228,-75.162454
'317','Mrs.','Eleanor','','','Widener','Elkins','0','','50','Philadelphia, Pennsylvania, USA','First','1','Survived','Southampton','Philadelphia, Pennsylvania, USA','4','',39.95228,-75.162454
'318','Miss','Amalie','Henriette','Emily','Gieger','','1','Maid','35','Philadelphia, Pennsylvania, USA','First','1','Survived','Southampton','Philadelphia, Pennsylvania, USA','4','',39.95228,-75.162454
'319','Miss','Constance','','','Willard','','0','','21','Duluth, Minnesota, USA','First','1','Survived','Southampton','Duluth, Minnesota, USA','8','',46.787965,-92.099849
'320','Mr.','Charles','Duane','','Williams','','0','','51','Geneva, Switzerland','First','0','Died','Cherbourg','Radnor, Pennsylvania, USA','','',46.208358,6.142701
'321','Mr.','Richard','Norris','','Williams II','','0','','21','Geneva, Switzerland','First','1','Survived','Cherbourg','Radnor, Pennsylvania, USA','A','',46.208358,6.142701
'322','Mr.','Hugh','','','Woolner','','0','','45','London, England','First','1','Survived','Southampton','New York City, New York, USA','D','',51.506325,-0.127144
'323','Mr.','George','','','Wright','','0','','62','Halifax, Nova Scotia, Canada','First','0','Died','Southampton','Halifax, Nova Scotia, Canada','','',44.64616,-63.573919
'324','Miss','Marie','Grice','','Young','','0','','36','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','8','',40.71455,-74.007124
'325','Mr.','Samuel','','','Abelson','','0','','30','Paris, France','Second','0','Died','Cherbourg','New York City, New York, USA','','',48.85693,2.3412
'326','Mrs.','Hannah','','','Abelson','','0','','28','Paris, France','Second','1','Survived','Cherbourg','New York City, New York, USA','10','',48.85693,2.3412
'327','Mr.','Edgar','Samuel','','Andrew','','0','','17','San Ambrosio, Córdoba, Argentina','Second','0','Died','Southampton','Trenton, New Jersey, USA','','',-33.25,-64.166702
'328','Mr.','Frank','Thomas','','Andrew','','0','','30','Redruth, Cornwall, England','Second','0','Died','Southampton','Houghton, Michigan, USA','','',50.23252,-5.229384
'329','Mr.','William','A.','','Angle','','0','','32','Warwick, Warwickshire, England','Second','0','Died','Southampton','New York City, New York, USA','','',52.281755,-1.591034
'330','Mrs.','Florence','Agnes','Mary','Angle','Hughes','0','','36','Warwick, Warwickshire, England','Second','1','Survived','Southampton','New York City, New York, USA','11','',52.281755,-1.591034
'331','Mr.','John','','','Ashby','','0','','57','West Hoboken, New Jersey, USA','Second','0','Died','Southampton','West Hoboken, New Jersey, USA','','',40.762939,-74.035294
'332','Mr.','Percy','Andrew','','Bailey','','0','','14','Penzance, Cornwall, England','Second','0','Died','Southampton','Akron, Ohio, USA','','',50.11981,-5.534919
'333','Mr.','Charles','Robert','','Bainbrigge','','0','','23','Saint Peter Port, Guernsey, Channel Islands','Second','0','Died','Southampton','New York City, New York, USA','','',49.4571,-2.53516
'334','Mrs.','Ada','E.','','Ball','Hall','0','','36','Bristol, Avon, England','Second','1','Survived','Southampton','Jacksonville, Florida, USA','10','',51.45373,-2.591564
'335','Mr.','Frederick','James','','Banfield','','0','','28','Plymouth, Devon, England','Second','0','Died','Southampton','Houghton, Michigan, USA','','',50.375805,-4.136894
'336','Father','Robert','James','','Bateman','','0','','51','Jacksonville, Florida, USA','Second','0','Died','Southampton','Jacksonville, Florida, USA','','174MB',30.33147,-81.656219
'337','Mr.','Edward','','','Beane','','0','','32','New York City, New York, USA','Second','1','Survived','Southampton','New York City, New York, USA','13','',40.71455,-74.007124
'338','Mrs.','Ethel','','','Beane','Clarke','0','','19','Norwich, Norfolk, England','Second','1','Survived','Southampton','New York City, New York, USA','13','',52.622495,1.2949
'339','Mr.','Henry','James','','Beauchamp','','0','','28','London, England','Second','0','Died','Southampton','New York City, New York, USA','','194MB',51.506325,-0.127144
'340','Master','Richard','Frederick','','Becker','','0','','1','Guntur, India','Second','1','Survived','Southampton','Benton Harbor, Michigan, USA','11','',16.305429,80.421959
'341','Miss','Marion','Louise','','Becker','','0','','4','Guntur, India','Second','1','Survived','Southampton','Benton Harbor, Michigan, USA','11','',16.305429,80.421959
'342','Miss','Ruth','Elizabeth','','Becker','','0','','12','Guntur, India','Second','1','Survived','Southampton','Benton Harbor, Michigan, USA','13','',16.305429,80.421959
'343','Mrs.','Nellie','E.','','Becker','Baumgardner','0','','35','Guntur, India','Second','1','Survived','Southampton','Benton Harbor, Michigan, USA','11','',16.305429,80.421959
'344','Mr.','Lawrence','','','Beesley','','0','','34','London, England','Second','1','Survived','Southampton','Toronto, Ontario, Canada','13','',51.506325,-0.127144
'345','Miss','Lillian','W.','','Bentham','','0','','19','Chennai, Tamil Nadu, India','Second','1','Survived','India','Chennai, Tamil Nadu, India','12','',13.06397,80.24311
'346','Mr.','William','John','','Berriman','','0','','23','St. Ives, Cornwall, England','Second','0','Died','Southampton','Calumet, Michigan, USA','','',52.331544,-0.068862
'347','Mr.','William','Hull','','Botsford','','0','','25','Orange, New Jersey, USA','Second','0','Died','Southampton','Orange, New Jersey, USA','','',40.773245,-74.232419
'348','Mr.','Solomon','','','Bowenur','','0','','42','London, England','Second','0','Died','Southampton','New York City, New York, USA','','',51.506325,-0.127144
'349','Mr.','James','H.','','Bracken','','0','','29','Lake Arthur, New Mexico, USA','Second','0','Died','Southampton','Lake Arthur, New Mexico, USA','','',33.000735,-104.368401
'350','Mr.','W.','Theodore Ronald','','Brailey','','0','','24','London, England','Second','0','Died','Southampton','New York City, New York, USA','','',51.506325,-0.127144
'351','Mr.','Roger','Marie','','Bricoux','','0','','20','Monte Carlo, Monaco','Second','0','Died','Southampton','New York City, New York, USA','','',43.738307,7.42696
'352','Mr.','José','Joaquim','','Brito','','0','','32','Madeira, Portugal','Second','0','Died','Southampton','São Paulo, Brazil','','',31.572361,-16.559705
'353','Miss','Edith','Eileen','','Brown','','0','','15','Cape Town, South Africa','Second','1','Survived','Southampton','Seattle, Washington, USA','14','',-33.919104,18.42197
'354','Mr.','Thomas','William Solomon','','Brown','','0','','60','Cape Town, South Africa','Second','0','Died','Southampton','Seattle, Washington, USA','','',-33.919104,18.42197
'355','Mrs.','Elizabeth','Catherine','','Brown','Ford','0','','40','Cape Town, South Africa','Second','1','Survived','Southampton','Seattle, Washington, USA','14','',-33.919104,18.42197
'356','Miss','Dagmar','Jenny Ingeborg','','Bryhl','','0','','20','Skara, Västergötland, Sweden','Second','1','Survived','Southampton','Rockford, Illinois, USA','12','',58.384602,13.43895
'357','Mr.','Kurt','Arnold Gottfrid','','Bryhl','','0','','25','Skara, Västergötland, Sweden','Second','0','Died','Southampton','Rockford, Illinois, USA','','',58.384602,13.43895
'358','Miss','Kate','','','Buss','','0','','36','Sittingbourne, Kent, England','Second','1','Survived','Southampton','San Francisco, California, USA','9','',51.34082,0.73791
'359','Mr.','Reginald','Fenton','','Butler','','0','','25','Southsea, Hampshire, England','Second','0','Died','Southampton','New York City, New York, USA','','97MB',50.784665,-1.088164
'360','Father','Thomas','Roussel Davids','','Byles','','0','','42','London, England','Second','0','Died','Southampton','Jacksonville, Florida, USA','','',51.506325,-0.127144
'361','Miss','Karolina','','','Byström','','0','','42','New York City, New York, USA','Second','1','Survived','Southampton','New York City, New York, USA','','',40.71455,-74.007124
'362','Master','Alden','Gates','','Caldwell','','0','','10mths','Bangkok, Siam, Thailand','Second','1','Survived','Southampton','Roseville, Illinois, USA','13','',13.75333,100.504822
'363','Mr.','Albert','Francis','','Caldwell','','0','','26','Bangkok, Siam, Thailand','Second','1','Survived','Southampton','Roseville, Illinois, USA','13','',13.75333,100.504822
'364','Mrs.','Sylvia','Mae','','Caldwell','Harbaugh','0','','28','Bangkok, Siam, Thailand','Second','1','Survived','Southampton','Roseville, Illinois, USA','13','',13.75333,100.504822
'365','Miss','Clear','Annie','','Cameron','','0','','35','London, England','Second','1','Survived','Southampton','Mamaroneck, New York, USA','14','',51.506325,-0.127144
'366','Mr.','William','Henry','','Campbell','','0','','21','Belfast, Ireland','Second','0','Died','Belfast','New York City, New York, USA','','',54.595295,-5.934524
'367','Mr.','William','','','Carbines','','0','','19','St. Ives, Cornwall, England','Second','0','Died','Southampton','Houghton, Michigan, USA','','18MB',52.331544,-0.068862
'368','Father','Ernest','Courtenay','','Carter','','0','','54','London, England','Second','0','Died','Southampton','New York City, New York, USA','','',51.506325,-0.127144
'369','Mrs.','Lilian','','','Carter','Hughes','0','','45','London, England','Second','0','Died','Southampton','New York City, New York, USA','','',51.506325,-0.127144
'370','Mr.','Charles','Henry','','Chapman','','0','','52','Bronx, New York, USA','Second','0','Died','Southampton','Bronx, New York, USA','','130MB',40.825745,-73.923249
'371','Mr.','John','Henry','','Chapman','','0','','36','Liskeard, Cornwall, England','Second','0','Died','Southampton','Spokane, Washington, USA','','17MB',50.453795,-4.465834
'372','Mrs.','Sara','Elizabeth','','Chapman','Lawry','0','','28','Liskeard, Cornwall, England','Second','0','Died','Southampton','Spokane, Washington, USA','','',50.453795,-4.465834
'373','Miss','Rachel','Julie Cohen','','Christy','','0','','25','London, England','Second','1','Survived','Southampton','Montreal, Quebec, Canada','12','',51.506325,-0.127144
'374','Mrs.','Alice','Frances','','Christy','','0','','45','London, England','Second','1','Survived','Southampton','Montreal, Quebec, Canada','12','',51.506325,-0.127144
'375','Mr.','Charles','Valentine','','Clarke','','0','','29','Netley Abbey, Hampshire, England','Second','0','Died','Southampton','San Francisco, California, USA','','',50.87661,-1.35565
'376','Mr.','John','Frederick Preston','','Clarke','','0','','30','Liverpool, Merseyside, England','Second','0','Died','Southampton','New York City, New York, USA','','202MB',53.409773,-2.978481
'377','Mrs.','Ada','Maria','','Clarke','','0','','28','Netley Abbey, Hampshire, England','Second','1','Survived','Southampton','San Francisco, California, USA','14','',50.87661,-1.35565
'378','Mr.','Reginald','Charles','','Coleridge','','0','','29','London, England','Second','0','Died','Southampton','Detroit, Michigan, USA','','',51.506325,-0.127144
'379','Mr.','Erik','Gustaf','','Collander','','0','','27','Helsinki, Finland','Second','0','Died','Southampton','Ashtabula, Ohio, USA','','',60.17116,24.93258
'380','Mr.','Sidney','Clarence Stuart','','Collett','','0','','25','London, England','Second','1','Survived','Southampton','Port Byron, New York, USA','9','',51.506325,-0.127144
'381','Miss','Marjorie','Charlotte','Lottie','Collyer','','0','','8','Bishopstoke, Hampshire, England','Second','1','Survived','Southampton','Payette Valley, Idaho, USA','14','',50.968128,-1.31873
'382','Mr.','Harvey','','','Collyer','','0','','31','Bishopstoke, Hampshire, England','Second','0','Died','Southampton','Payette Valley, Idaho, USA','','',50.968128,-1.31873
'383','Mrs.','Charlotte','Annie','','Collyer','Tate','0','','31','Bishopstoke, Hampshire, England','Second','1','Survived','Southampton','Payette Valley, Idaho, USA','14','',50.968128,-1.31873
'384','Mrs.','Selena','','','Cook','Rogers','0','','22','Oxford, Oxfordshire, England','Second','1','Survived','Southampton','New York City, New York, USA','14','',51.756205,-1.259489
'385','Mrs.','Irene','','','Corbett','Colvin','0','','30','Provo, Utah, USA','Second','0','Died','Southampton','Provo, Utah, USA','','',40.233775,-111.668509
'386','Mrs.','Mary','Phyllis Elizabeth','','Corey','Miller','0','','30','Pittsburgh, Pennsylvania, USA','Second','0','Died','Southampton','Pittsburgh, Pennsylvania, USA','','',40.438335,-79.997459
'387','Mr.','Henry','','Harry','Cotterill','','0','','20','Penzance, Cornwall, England','Second','0','Died','Southampton','Akron, Ohio, USA','','',50.11981,-5.534919
'388','Mr.','Alfred','Fleming','','Cunningham','','0','','21','Belfast, Ireland','Second','0','Died','Belfast','New York City, New York, USA','','',54.595295,-5.934524
'389','Master','John','Morgan','','Davies Jr.','','0','','8','St. Ives, Cornwall, England','Second','1','Survived','Southampton','Houghton, Michigan, USA','14','',52.331544,-0.068862
'390','Mr.','Charles','Henry','','Davies','','0','','21','Lyndhurst, Hampshire, England','Second','0','Died','Southampton','Eden, Manitoba, Canada','','',50.872327,-1.573
'391','Mrs.','Elizabeth','Agnes Mary','','Davies','White','0','','48','St. Ives, Cornwall, England','Second','1','Survived','Southampton','Houghton, Michigan, USA','14','',52.331544,-0.068862
'392','Miss','Mary','','','Davis','','0','','28','London, England','Second','1','Survived','Southampton','Staten Island, New York, USA','13','',51.506325,-0.127144
'393','Mr.','Percy','William','','Deacon','','0','','20','Fritham, Hampshire, England','Second','0','Died','Southampton','Boston, Massachusetts, USA','','',50.925579,-1.66116
'394','Mr.','Sebastiano','','','del Carlo','','0','','29','Montecarlo, Italy','Second','0','Died','Cherbourg','California, USA','','295MB',43.85336,10.666335
'395','Mrs.','Argene','','','del Carlo','Genovesi','0','','24','Montecarlo, Italy','Second','1','Survived','Cherbourg','California, USA','11','',43.85336,10.666335
'396','Mr.','Albert','','Herbert','Denbuoy','','0','','25','Guernsey, Channel Islands','Second','0','Died','Southampton','Elizabeth, New Jersey, USA','','',49.572531,-2.419635
'397','Mr.','William','','','Dibden','','0','','18','Lyndhurst, Hampshire, England','Second','0','Died','Southampton','Eden, Manitoba, Canada','','',50.872327,-1.573
'398','Miss','Elsie','','','Doling','','0','','19','Southampton, Hampshire, England','Second','1','Survived','Southampton','New York City, New York, USA','','',50.90994,-1.407319
'399','Mrs.','Ada','Julia','','Doling','Bone','0','','34','Southampton, Hampshire, England','Second','1','Survived','Southampton','New York City, New York, USA','','',50.90994,-1.407319
'400','Mr.','William','Joseph','','Douton','','0','','55','Rochester, New York, USA','Second','0','Died','Southampton','Rochester, New York, USA','','',43.1555,-77.616033
'401','Master','Marshall','Brines','','Drew','','0','','8','Greenport, New York, USA','Second','1','Survived','Southampton','Greenport, New York, USA','10','',42.242294,-73.765724
'402','Mr.','James','Vivian','','Drew','','0','','42','Greenport, New York, USA','Second','0','Died','Southampton','Greenport, New York, USA','','',42.242294,-73.765724
'403','Mrs.','Lulu','Thorne','','Drew','Christian','0','','34','Greenport, New York, USA','Second','1','Survived','Southampton','Greenport, New York, USA','10','',42.242294,-73.765724
'404','Miss','Asunción','','','Duran y More','','0','','27','Barcelona, Spain','Second','1','Survived','Cherbourg','Havana, Cuba','12','',41.385589,2.168745
'405','Miss','Florentina','','','Duran y More','','0','','30','Barcelona, Spain','Second','1','Survived','Cherbourg','Havana, Cuba','12','',41.385589,2.168745
'406','Mr.','George','Floyd','','Eitemiller','','0','','23','London, England','Second','0','Died','Southampton','Detroit, Michigan, USA','','',51.506325,-0.127144
'407','Mr.','Ingvar','','','Enander','','0','','21','Göteborg, Västergötland, Sweden','Second','0','Died','Southampton','Rockford, Illinois, USA','','',57.701328,11.96689
'408','Mr.','Arne','Joma','','Fahlstrøm','','0','','18','Oslo, Norway','Second','0','Died','Southampton','Bayonne, New Jersey, USA','','',59.91228,10.74998
'409','Mr.','Harry','Bartram','','Faunthorpe','','0','','40','Liverpool, Merseyside, England','Second','0','Died','Southampton','Philadelphia, Pennsylvania, USA','','286MB',53.409773,-2.978481
'410','Mr.','Joseph','Charles','','Fillbrook','','0','','18','Truro, Cornwall, England','Second','0','Died','Southampton','Houghton, Michigan, USA','','',50.265239,-5.053631
'411','Mr.','Stanley','Hubert','','Fox','','0','','38','Rochester, New York, USA','Second','0','Died','Southampton','Rochester, New York, USA','','236MB',43.1555,-77.616033
'412','Mr.','Anthony','Wood','Archie','Frost','','0','','37','Belfast, Ireland','Second','0','Died','Belfast','New York City, New York, USA','','',54.595295,-5.934524
'413','Miss','Annie','Clemmer','','Funk','','0','','38','Janjgir-Champa, India','Second','0','Died','Southampton','Bally, Pennsylvania, USA','','',21.97204,82.80632
'414','Mr.','Joseph','J.','','Fynney','','0','','35','Liverpool, Merseyside, England','Second','0','Died','Southampton','Montreal, Quebec, Canada','','322M',53.409773,-2.978481
'415','Mr.','Harry','','','Gale','','0','','38','Harrowbarrow, Cornwall, England','Second','0','Died','Southampton','Clear Creek, Colorado, USA','','',50.50544,-4.26029
'416','Mr.','Shadrach','','','Gale','','0','','33','Harrowbarrow, Cornwall, England','Second','0','Died','Southampton','Clear Creek, Colorado, USA','','',50.50544,-4.26029
'417','Miss','Ethel','','','Garside','','0','','34','Liverpool, Merseyside, England','Second','1','Survived','Southampton','Brooklyn, New York, USA','12','',53.409773,-2.978481
'418','Mr.','Alfred','','','Gaskell','','0','','16','Liverpool, Merseyside, England','Second','0','Died','Southampton','Montreal, Quebec, Canada','','',53.409773,-2.978481
'419','Mr.','Laurence','','','Gavey','','0','','26','Guernsey, Channel Islands','Second','0','Died','Southampton','Elizabeth, New Jersey, USA','','',49.572531,-2.419635
'420','Mr.','William','','','Gilbert','','0','','47','Carleens, Cornwall, England','Second','0','Died','Southampton','Butte, Montana, USA','','',50.401205,-5.271255
'421','Mr.','Edgar','','','Giles','','0','','21','Porthleven, Cornwall, England','Second','0','Died','Southampton','Camden, New Jersey, USA','','',50.0867,-5.31327
'422','Mr.','Frederick','Edward','','Giles','','0','','20','Porthleven, Cornwall, England','Second','0','Died','Southampton','Camden, New Jersey, USA','','',50.0867,-5.31327
'423','Mr.','Ralph','','','Giles','','0','','25','London, England','Second','0','Died','Southampton','New York City, New York, USA','','297MB',51.506325,-0.127144
'424','Mr.','John','William','','Gill','','0','','24','Clevedon, North Somerset, England','Second','0','Died','Southampton','New York City, New York, USA','','155MB',51.439178,-2.85543
'425','Mr.','William','Henry','','Gillespie','','0','','34','Abbeyleix, Laois, Ireland','Second','0','Died','Southampton','Vancouver, British Columbia, Canada','','',52.913231,-7.34919
'426','Mr.','Hans','Kristensen','','Givard','','0','','30','Kølsen, Vorde Sogn, Denmark','Second','0','Died','Southampton','San Francisco, California, USA','','305MB',56.516998,9.36287
'427','Mr.','Samuel','','','Greenberg','','0','','52','Bronx, New York, USA','Second','0','Died','Southampton','Bronx, New York, USA','','19MB',40.825745,-73.923249
'428','Mr.','Reginald','','','Hale','','0','','30','Auburn, New York, USA','Second','0','Died','Southampton','Auburn, New York, USA','','75MB',42.929365,-76.565914
'429','Master','Viljo','Unto Johannes','William Hamlin','Hämäläinen','','0','','1','Detroit, Michigan, USA','Second','1','Survived','Southampton','Detroit, Michigan, USA','4','',42.331685,-83.047924
'430','Mrs.','Anna','Anna Hamlin','','Hämäläinen','','0','','24','Detroit, Michigan, USA','Second','1','Survived','Southampton','Detroit, Michigan, USA','4','',42.331685,-83.047924
'431','Mr.','William','H.','','Harbeck','','0','','44','Toledo, Ohio, USA','Second','0','Died','Southampton','Montreal, Quebec, Canada','','35MB',41.65381,-83.536259
'432','Miss','Annie','Jessie','Nina','Harper','','0','','6','London, England','Second','1','Survived','Southampton','Chicago, Illinois, USA','11','',51.506325,-0.127144
'433','The','Reverend','John','','Harper','','0','','39','London, England','Second','0','Died','Southampton','Chicago, Illinois, USA','','',51.506325,-0.127144
'434','Mr.','George','','','Harris','','0','','62','London, England','Second','1','Survived','Southampton','New York City, New York, USA','15','',51.506325,-0.127144
'435','Mr.','Walter','','','Harris','','0','','30','London, England','Second','0','Died','Southampton','New York City, New York, USA','','',51.506325,-0.127144
'436','Miss','Eva','Miriam','','Hart','','0','','7','Ilford, Essex, England','Second','1','Survived','Southampton','Winnipeg, Manitoba, Canada','14','',51.56375,0.067115
'437','Mr.','Benjamin','','','Hart','','0','','47','Ilford, Essex, England','Second','0','Died','Southampton','Winnipeg, Manitoba, Canada','','',51.56375,0.067115
'438','Mrs.','Esther','Ada','','Hart','Bloomfield','0','','48','Ilford, Essex, England','Second','1','Survived','Southampton','Winnipeg, Manitoba, Canada','14','',51.56375,0.067115
'439','Mr.','Wallace','Henry','','Hartley','','0','','33','Dewsbury, West Yorkshire, England','Second','0','Died','Southampton','New York City, New York, USA','','224MB',53.691605,-1.631109
'440','Miss','Alice','','','Herman','','0','','24','Yeovil, Somerset, England','Second','1','Survived','Southampton','Bernardsville, New Jersey, USA','9','',50.9487,-2.639484
'441','Miss','Kate','','','Herman','','0','','24','Yeovil, Somerset, England','Second','1','Survived','Southampton','Bernardsville, New Jersey, USA','9','',50.9487,-2.639484
'442','Mr.','Samuel','','','Herman','','0','','49','Yeovil, Somerset, England','Second','0','Died','Southampton','Bernardsville, New Jersey, USA','','',50.9487,-2.639484
'443','Mrs.','Jane','','','Herman','Laver','0','','48','Yeovil, Somerset, England','Second','1','Survived','Southampton','Bernardsville, New Jersey, USA','9','',50.9487,-2.639484
'444','Mrs.','Mary','Dunbar','','Hewlett','Kingcome','0','','56','Lucknow, India','Second','1','Survived','Southampton','Rapid City, South Dakota, USA','13','',26.83906,80.93326
'445','Mr.','Leonard','Mark','','Hickman','','0','','24','Fritham, Hampshire, England','Second','0','Died','Southampton','Eden, Manitoba, Canada','','',50.925579,-1.66116
'446','Mr.','Lewis','','','Hickman','','0','','30','Fritham, Hampshire, England','Second','0','Died','Southampton','The Pas, Manitoba, Canada','','256MB',50.925579,-1.66116
'447','Mr.','Stanley','George','','Hickman','','0','','20','Fritham, Hampshire, England','Second','0','Died','Southampton','The Pas, Manitoba, Canada','','',50.925579,-1.66116
'448','Miss','Marta','','','Hiltunen','','0','','18','Joensuu, Finland','Second','0','Died','Southampton','Detroit, Michigan, USA','','',62.604225,29.759265
'449','Miss','Ellen','','Nellie','Hocking','','0','','20','Penzance, Cornwall, England','Second','1','Survived','Southampton','Akron, Ohio, USA','4','',50.11981,-5.534919
'450','Mr.','Richard','George','','Hocking','','0','','23','Akron, Ohio, USA','Second','0','Died','Southampton','Akron, Ohio, USA','','',41.084195,-81.514059
'451','Mr.','Samuel','James Metcalfe','','Hocking','','0','','36','Devonport, Devon, England','Second','0','Died','Southampton','Middletown, Connecticut, USA','','',50.373161,-4.17694
'452','Mrs.','Elizabeth','','Eliza','Hocking','Neads','0','','54','Penzance, Cornwall, England','Second','1','Survived','Southampton','Akron, Ohio, USA','4','',50.11981,-5.534919
'453','Mr.','Henry','Price','','Hodges','','0','','50','Southampton, Hampshire, England','Second','0','Died','Southampton','Boston, Massachusetts, USA','','149MB',50.90994,-1.407319
'454','Mr.','Stephen','','','Hold','','0','','44','Porthoustock, Cornwall, England','Second','0','Died','Southampton','Sacramento, California, USA','','',50.056301,-5.06613
'455','Mrs.','Annie','Margaret','','Hold','Hill','0','','29','Porthoustock, Cornwall, England','Second','1','Survived','Southampton','Sacramento, California, USA','10','',50.056301,-5.06613
'456','Mr.','Ambrose','Jr.','','Hood','','0','','21','Fritham, Hampshire, England','Second','0','Died','Southampton','Winnipeg, Manitoba, Canada','','237{?}MB',50.925579,-1.66116
'457','Mr.','Masabumi','','','Hosono','','0','','41','Tokyo, Japan','Second','1','Survived','Southampton','Tokyo, Japan','10','',35.670479,139.740921
'458','Mr.','Benjamin','','','Howard','','0','','63','Swindon, Wiltshire, England','Second','0','Died','Southampton','Idaho, USA','','',51.561765,-1.781814
'459','Mrs.','Ellen','Truelove','','Howard','Arman','0','','60','Swindon, Wiltshire, England','Second','0','Died','Southampton','Idaho, USA','','',51.561765,-1.781814
'460','Mr.','John','Law','Jock','Hume','','0','','28','Dumfries, Scotland','Second','0','Died','Southampton','New York City, New York, USA','','193MB',55.069495,-3.616089
'461','Mr.','George','Henry','','Hunt','','0','','33','Philadelphia, Pennsylvania, USA','Second','0','Died','Southampton','Philadelphia, Pennsylvania, USA','','',39.95228,-75.162454
'462','Miss','Bertha','','','Ilett','','0','','17','Jersey, Channel Islands','Second','1','Survived','Southampton','Atlanta, Georgia, USA','','',49.2122,-2.13317
'463','Mr.','Sidney','Samuel','','Jacobsohn','','0','','40','London, England','Second','0','Died','Southampton','Montreal, Quebec, Canada','','',51.506325,-0.127144
'464','Mrs.','Amy','Frances Christy','','Jacobsohn','Cohen','0','','24','London, England','Second','1','Survived','Southampton','Montreal, Quebec, Canada','12','',51.506325,-0.127144
'465','Mr.','Denzil','John','','Jarvis','','0','','47','Stoneygate, Leicestershire, England','Second','0','Died','Southampton','New York City, New York, USA','','',52.616001,-1.103
